localword,words,type
centralpark_0,"[('walking', 2), ('walk', 2)]",topic 22
centurycity_0,"[('career', 3), ('arc', 3)]",topic 10
centurylink field_0,"[('stadium', 1), ('field', 1)]",topic 30
cerrito_0,"[('ice', 1), ('cream', 1), ('dessert', 1)]",topic 14
cfe arena_0,"[('awesome', 2), ('amazing', 1)]",topic 20
cfs_0,"[('fan', 1), ('win', 1)]",topic 30
chamblee_0,"[('career', 2), ('arc', 2)]",topic 10
chancetherapper_0,"[('summer', 1), ('perfect', 1)]",topic 22
chandleraz_0,"[('simon', 2), ('customer', 1)]",topic 9
charger_2,"[('nfl', 2), ('football', 2), ('win', 2), ('beat', 1), ('season', 1)]",topic 30
charity runner_0,"[('mile', 1), ('running', 1)]",topic 22
charlestonsc_1,"[('nikon', 1), ('photographer', 1), ('photography', 1)]",topic 24
charlottefashionweek_0,"[('fashion', 1), ('makeup', 1)]",topic 24
charlottenc_2,"[('football', 1), ('stadium', 1)]",topic 30
chautauqua park_0,"[('amazing', 1), ('yesterday', 1)]",topic 20
cheektowaga_0,"[('career', 2), ('arc', 2)]",topic 10
cheesesteak_1,"[('lunch', 2), ('food', 1), ('foodie', 1), ('yummy', 1)]",topic 14
chelseamarket_0,"[('food', 2), ('eating', 1), ('lunch', 1), ('yummy', 1)]",topic 14
chi_6,"[('fest', 1), ('music', 1)]",topic 20
chicago midway_0,"[('airport', 7), ('international', 6), ('flight', 2), ('headed', 1)]",topic 7
chicago ohare_0,"[('airport', 7), ('international', 7), ('flight', 3)]",topic 7
chicagobear_0,"[('bears', 6), ('bear', 1)]",topic 29
chicagobears_0,"[('bears', 3), ('bear', 1)]",topic 29
chicagocubs_0,"[('fan', 2), ('win', 1)]",topic 30
chicagolife_0,"[('downtown', 2), ('skyline', 1)]",topic 22
chihalf_0,"[('running', 1), ('marathon', 1)]",topic 22
children s mercy park_0,"[('field', 1), ('win', 1)]",topic 30
china town_0,"[('birds', 2), ('bird', 1)]",topic 21
chinatown_1,"[('food', 1), ('pizza', 1), ('lunch', 1)]",topic 14
chinatown_3,"[('street', 3), ('art', 1)]",topic 24
chinatown_0,"[('photography', 2), ('street', 1)]",topic 24
chitown_8,"[('brunch', 2), ('sunday', 1)]",topic 26
chitown_9,"[('sky', 1), ('skyline', 1)]",topic 22
choose901_1,"[('dogs', 1), ('instagram', 1)]",topic 23
choose901_2,"[('pizza', 1), ('lunch', 1)]",topic 14
christian louboutin_0,"[('shoes', 2), ('shoe', 1)]",topic 24
chseat_0,"[('food', 2), ('eats', 1), ('lunch', 1)]",topic 14
chubbuck_0,"[('career', 2), ('arc', 2)]",topic 10
chvrche_2,"[('music', 1), ('festival', 1)]",topic 20
cibccareer_0,"[('financial', 1), ('banking', 1)]",topic 9
cincy_2,"[('tbt', 1), ('thursday', 1)]",topic 20
cinderellascastle_0,"[('kingdom', 2), ('magic', 2)]",topic 4
cinespia_0,"[('movie', 1), ('film', 1)]",topic 17
circuit_1,"[('endurance', 1), ('race', 1)]",topic 19
citi field_1,"[('sky', 2), ('blue', 1)]",topic 22
citi field_2,"[('stadium', 2), ('field', 1)]",topic 30
citifield_1,"[('inning', 2), ('mlb', 1)]",topic 30
city of buffalo_0,"[('construction', 2), ('directions', 1), ('cleared', 1), ('update', 1)]",topic 1
city of cleveland_0,"[('lot', 4), ('tailgating', 1)]",topic 30
cityoforange_0,"[('career', 2), ('arc', 2)]",topic 10
claflin university_0,"[('music', 1), ('fest', 1)]",topic 20
clay county fair_0,"[('fair', 2), ('county', 1)]",topic 6
cle_2,"[('stadium', 2), ('field', 1)]",topic 30
cleve_0,"[('career', 2), ('arc', 2)]",topic 10
cleveland brown_1,"[('nfl', 1), ('nation', 1)]",topic 30
cleveland hopkin_0,"[('international', 2), ('airport', 1)]",topic 7
clevelandheight_0,"[('career', 2), ('arc', 2)]",topic 10
clt_3,"[('eat', 2), ('food', 1), ('lunch', 1)]",topic 14
cltbeer_1,"[('craft', 2), ('beer', 2)]",topic 14
club leconte_0,"[('awesome', 2), ('amazing', 1)]",topic 20
cn tower_0,"[('tower', 3), ('views', 1)]",topic 22
cobourg_0,"[('career', 2), ('arc', 2)]",topic 10
coconutgrove_0,"[('career', 2), ('arc', 2)]",topic 10
colma_0,"[('career', 2), ('arc', 2)]",topic 10
colonie_0,"[('career', 2), ('arc', 2)]",topic 10
colorado spring_2,"[('design', 2), ('graphic', 1)]",topic 24
coloradocrush2016_0,"[('street', 2), ('art', 2), ('artist', 1)]",topic 24
coloradospring_2,"[('physician', 1), ('cardiology', 1)]",topic 9
colorfulcolorado_0,"[('autumn', 2), ('fall', 1)]",topic 22
colour_12,"[('fall', 2), ('autumn', 1)]",topic 22
colours_1,"[('art', 1), ('painting', 1), ('paint', 1)]",topic 24
columbia college_0,"[('music', 2), ('fest', 1)]",topic 20
columbia university_0,"[('college', 1), ('student', 1)]",topic 28
comic con_0,"[('comic', 2), ('comics', 1), ('cosplay', 1), ('batman', 1)]",topic 3
comstocktownship_0,"[('sale', 1), ('customer', 1)]",topic 9
coney island_0,"[('candy', 2), ('cotton', 2)]",topic 12
coneyisland_1,"[('yesterday', 1), ('amazing', 1)]",topic 20
confluencecon_0,"[('theatre', 2), ('theater', 1)]",topic 17
convocation center_0,"[('country', 1), ('flatts', 1), ('rascal', 1)]",topic 6
coonrapid_0,"[('career', 3), ('arc', 3)]",topic 10
coor field_1,"[('mlb', 3), ('ballpark', 2)]",topic 30
coorsfield_0,"[('mlb', 1), ('ballpark', 1), ('ballgame', 1)]",topic 30
coral spring_0,"[('smoked', 1), ('brisket', 1)]",topic 14
coralspring_0,"[('customer', 1), ('cashier', 1), ('clerk', 1)]",topic 9
corelife eatery_0,"[('eat', 1), ('lunch', 1)]",topic 14
corralitos_0,"[('career', 2), ('arc', 2)]",topic 10
cosplayer_0,"[('amazing', 1), ('awesome', 1)]",topic 20
coterie_1,"[('style', 2), ('fashion', 2), ('dress', 2), ('model', 1)]",topic 24
coterienyc_0,"[('style', 2), ('fashion', 1), ('model', 1)]",topic 24
cottagelife_2,"[('lake', 2), ('lakes', 1)]",topic 22
councilbluff_0,"[('arc', 3), ('career', 3)]",topic 10
cowboys_9,"[('watch', 1), ('beat', 1)]",topic 30
cowboys_10,"[('win', 2), ('lose', 1)]",topic 30
cowboys_12,"[('celebrate', 1), ('celebrating', 1)]",topic 20
cowboys_8,"[('beat', 1), ('win', 1)]",topic 30
cowlesmountain_0,"[('moon', 2), ('harvest', 1)]",topic 14
cranberrytownship_0,"[('career', 2), ('arc', 2)]",topic 10
cranburytownship_0,"[('customer', 1), ('sale', 1)]",topic 9
creative study_0,"[('college', 2), ('campus', 1)]",topic 28
crossvegas_0,"[('cycling', 3), ('bike', 1)]",topic 19
crown height_1,"[('project', 1), ('business', 1)]",topic 9
csun_0,"[('red', 2), ('white', 1), ('blue', 1)]",topic 21
csxjobs_0,"[('analyst', 1), ('clerical', 1)]",topic 9
cta_1,"[('train', 5), ('station', 3), ('subway', 2)]",topic 1
cub_4,"[('clinched', 2), ('central', 1)]",topic 27
cubs_0,"[('watch', 4), ('watching', 2)]",topic 30
culver hotel_1,"[('food', 1), ('lunch', 1)]",topic 14
dabear_0,"[('bears', 2), ('bear', 1)]",topic 29
dabears_0,"[('football', 2), ('nfl', 1), ('opener', 1), ('season', 1)]",topic 30
daily press coffee_0,"[('coffee', 2), ('latte', 1)]",topic 14
dalla_4,"[('international', 2), ('airport', 2), ('heading', 1)]",topic 7
dalla_9,"[('southwest', 2), ('airlines', 1)]",topic 7
dalla_12,"[('dinner', 2), ('chicken', 1), ('yum', 1), ('yummy', 1), ('lunch', 1), ('food', 1)]",topic 14
dalla_13,"[('black', 2), ('white', 1)]",topic 21
dalla_14,"[('cafe', 1), ('coffee', 1)]",topic 14
dallas central_0,"[('therapist', 1), ('prn', 1)]",topic 9
dallas fort_0,"[('airport', 3), ('international', 3)]",topic 7
dallaspride_0,"[('gay', 2), ('insta', 1)]",topic 23
dalvswas_1,"[('trend', 1), ('started', 1), ('trending', 1), ('trnd', 1), ('trends', 1), ('tweets', 1)]",topic 27
dana point harbor_0,"[('boat', 1), ('sailing', 1)]",topic 22
danforthmusichall_0,"[('music', 1), ('band', 1)]",topic 20
danver_0,"[('career', 3), ('arc', 3)]",topic 10
daytona_1,"[('awesome', 1), ('amazing', 1)]",topic 20
dca_0,"[('delay', 3), ('departure', 2)]",topic 7
ddlovato_0,"[('jonas', 2), ('nick', 2)]",topic 0
de moine_1,"[('maintenance', 2), ('technician', 1), ('mechanic', 1)]",topic 9
death cab_0,"[('fest', 2), ('music', 1)]",topic 20
deathcabforcutie_0,"[('fest', 1), ('festival', 1), ('music', 1)]",topic 20
deepellum_0,"[('yum', 1), ('lunch', 1), ('food', 1), ('porn', 1)]",topic 14
del mar country club_0,"[('tournament', 2), ('golf', 2)]",topic 16
deltavacationsu16_0,"[('friend', 1), ('awesome', 1)]",topic 20
