localword,words,type
port of astoria_0,"[('river', 1), ('bridge', 1)]",topic 22
portlandmaine_0,"[('foggy', 1), ('fog', 1)]",topic 22
portlandoregon_0,"[('sky', 2), ('moon', 1)]",topic 22
postfall_0,"[('career', 2), ('arc', 2)]",topic 10
potato chip rock_0,"[('awesome', 1), ('friend', 1)]",topic 20
poudre canyon_0,"[('nature', 1), ('lake', 1)]",topic 22
prayforcharlotte_2,"[('photography', 1), ('art', 1)]",topic 24
premiere_4,"[('film', 1), ('movie', 1)]",topic 17
printer s alley_0,"[('music', 2), ('band', 1)]",topic 20
providence college_0,"[('insta', 1), ('pic', 1)]",topic 23
public garden_0,"[('saturday', 1), ('sunday', 1)]",topic 26
publik_0,"[('roaster', 2), ('coffee', 2)]",topic 14
pugetsound_1,"[('evening', 1), ('gorgeous', 1)]",topic 22
pugetsound_2,"[('hiking', 1), ('nature', 1)]",topic 22
purdue_1,"[('photography', 1), ('nature', 1)]",topic 22
purdue university_0,"[('late', 1), ('post', 1)]",topic 23
qualcomm stadium_0,"[('football', 2), ('opener', 1), ('season', 1), ('nfl', 1)]",topic 30
quebec_12,"[('insta', 2), ('daily', 2), ('pic', 1)]",topic 23
quebeccity_0,"[('customer', 2), ('banking', 1)]",topic 9
queen anne rd_0,"[('incident', 2), ('cleared', 1)]",topic 1
queen bey_0,"[('beyonc', 2), ('slay', 1), ('slayed', 1)]",topic 20
queenbey_0,"[('beyonc', 4), ('queen', 1)]",topic 20
queenofkatwe_1,"[('film', 1), ('films', 1)]",topic 17
quinnipiac university_0,"[('views', 1), ('tower', 1)]",topic 22
qvc_0,"[('watching', 1), ('play', 1)]",topic 30
radford university_0,"[('coming', 1), ('fall', 1)]",topic 22
radio city music hall_0,"[('blue', 2), ('sky', 1)]",topic 22
radiocity_1,"[('blackandwhite', 1), ('photography', 1)]",topic 24
raider game_2,"[('season', 2), ('nation', 1), ('nfl', 1)]",topic 30
raidernation_4,"[('opener', 3), ('nfl', 2), ('season', 1)]",topic 30
rained_4,"[('music', 3), ('festival', 1)]",topic 20
raleighbeerweek_0,"[('drinking', 1), ('stout', 1)]",topic 14
ralphs_3,"[('dinner', 1), ('lunch', 1)]",topic 14
rams_5,"[('nfl', 5), ('football', 5), ('win', 3), ('beat', 1)]",topic 30
red carpet_3,"[('deepwater', 2), ('horizon', 1)]",topic 17
red carpet_7,"[('makeup', 2), ('hair', 1)]",topic 24
red carpet_8,"[('party', 2), ('lit', 1)]",topic 20
red sox_0,"[('drinking', 2), ('ale', 1), ('beer', 1)]",topic 14
redcarpet_7,"[('makeup', 2), ('glam', 2)]",topic 24
redcarpet_8,"[('makeup', 1), ('beauty', 1)]",topic 24
reddingca_0,"[('career', 2), ('arc', 2)]",topic 10
redhotchilipepper_0,"[('nfl', 2), ('funday', 1), ('sunday', 1)]",topic 26
redland_0,"[('career', 2), ('arc', 2)]",topic 10
redrockcanyon_0,"[('nature', 2), ('trail', 1)]",topic 22
redskin_6,"[('football', 3), ('nfl', 1), ('nation', 1)]",topic 30
redskin_8,"[('watching', 1), ('play', 1)]",topic 30
redskin_2,"[('start', 1), ('tomorrow', 1)]",topic 20
redskin fan_2,"[('nation', 1), ('beat', 1)]",topic 30
redsox_3,"[('hanley', 2), ('ramirez', 2)]",topic 5
resolute_0,"[('brewing', 2), ('beer', 1), ('company', 1)]",topic 14
rhode_3,"[('breakfast', 1), ('coffee', 1)]",topic 14
rice university_0,"[('campus', 2), ('college', 1), ('university', 1)]",topic 28
rick husband_0,"[('international', 2), ('airport', 2)]",topic 7
rino_0,"[('art', 5), ('street', 3), ('artist', 1)]",topic 24
riot_2,"[('guy', 1), ('hey', 1)]",topic 20
riot fest_1,"[('band', 1), ('music', 1)]",topic 20
riotfest_1,"[('spot', 1), ('favorite', 1)]",topic 20
riotfestsuck_0,"[('fest', 2), ('festival', 1)]",topic 20
rittenhouse_0,"[('eats', 1), ('lunch', 1)]",topic 14
riverfall_0,"[('career', 2), ('arc', 2)]",topic 10
riverside drive_0,"[('sky', 1), ('cloud', 1)]",topic 22
riverwalk_3,"[('summer', 1), ('perfect', 1)]",topic 22
rmnp_2,"[('fall', 2), ('autumn', 1)]",topic 22
roadtoamericanafest_0,"[('tomorrow', 1), ('set', 1)]",topic 20
roanokerapid_0,"[('career', 2), ('arc', 2)]",topic 10
rob zombie_0,"[('fest', 5), ('music', 1)]",topic 20
robinsontownship_0,"[('consultant', 1), ('sale', 1), ('customer', 1)]",topic 9
roc_6,"[('ipa', 2), ('beer', 2), ('brewing', 2), ('company', 1)]",topic 14
rochesterny_0,"[('rise', 2), ('grind', 1)]",topic 11
rock allegiance_0,"[('awesome', 1), ('amazing', 1), ('yesterday', 1)]",topic 20
rockallegiance_0,"[('music', 2), ('band', 1)]",topic 20
rockwood music hall_0,"[('playing', 1), ('music', 1)]",topic 20
rocky mountain_2,"[('nature', 1), ('lake', 1), ('trail', 1)]",topic 22
rockymountain_0,"[('spa', 1), ('resort', 1), ('hotel', 1)]",topic 22
ronald reagan_1,"[('bound', 1), ('flight', 1)]",topic 7
roncesvalle_1,"[('ave', 2), ('dr', 1), ('div', 1)]",topic 1
ronenglishart_0,"[('gallery', 1), ('art', 1)]",topic 24
rosarito_0,"[('nice', 1), ('pretty', 1)]",topic 20
roundlakebeach_0,"[('career', 2), ('arc', 2)]",topic 10
route66_3,"[('trip', 2), ('road', 2)]",topic 22
route66_0,"[('road', 2), ('trip', 1)]",topic 22
route66_6,"[('road', 2), ('trip', 1)]",topic 22
rtd_1,"[('station', 1), ('train', 1)]",topic 1
runchi_0,"[('running', 3), ('miles', 1)]",topic 22
runyon canyon_0,"[('dream', 1), ('living', 1)]",topic 11
runyon canyon hike trail_0,"[('trail', 1), ('hiking', 1)]",topic 22
runyon canyon park_0,"[('funday', 2), ('sunday', 2)]",topic 26
runyoncanyon_1,"[('fit', 1), ('workout', 1), ('fitness', 1)]",topic 11
russell orchard_0,"[('apple', 2), ('picking', 2)]",topic 15
rutger_4,"[('university', 7), ('college', 2), ('campus', 1)]",topic 28
rutger university_0,"[('phi', 2), ('kappa', 1), ('psi', 1)]",topic 28
rva_2,"[('local', 3), ('beer', 1), ('drink', 1)]",topic 14
rvadine_0,"[('wine', 1), ('tasting', 1)]",topic 14
ryebrook_0,"[('career', 2), ('arc', 2)]",topic 10
ryman auditorium_0,"[('music', 1), ('stage', 1)]",topic 20
sacramento river_0,"[('river', 1), ('bridge', 1)]",topic 22
safeco field_0,"[('friend', 1), ('awesome', 1), ('hanging', 1)]",topic 20
saginaw valley state university_0,"[('campus', 1), ('university', 1)]",topic 28
saint game_0,"[('watch', 1), ('watching', 1)]",topic 30
saintclairshore_0,"[('career', 2), ('arc', 2)]",topic 10
salemma_0,"[('street', 2), ('streets', 1)]",topic 24
sam houston state_0,"[('student', 1), ('university', 1)]",topic 28
san_9,"[('station', 2), ('train', 2)]",topic 1
san_20,"[('heading', 2), ('airport', 1), ('international', 1)]",topic 7
san_25,"[('friend', 3), ('glad', 1)]",topic 20
san_3,"[('belly', 1), ('korean', 1)]",topic 14
san_12,"[('thursday', 1), ('tbt', 1)]",topic 20
san fran_0,"[('holiday', 1), ('vacation', 1)]",topic 22
san francisco international_0,"[('airport', 2), ('headed', 1)]",topic 7
san francisco state_0,"[('recruitment', 1), ('phi', 1), ('alpha', 1)]",topic 28
san jose california_0,"[('miles', 1), ('trail', 1)]",topic 22
sanfran_2,"[('lunch', 1), ('yum', 1)]",topic 14
sangennaro_0,"[('fest', 1), ('festival', 1)]",topic 20
santa monica pier_0,"[('mom', 1), ('boy', 1)]",topic 20
santafespring_0,"[('accountemps', 1), ('clerk', 1), ('accounting', 1)]",topic 9
santamonicabeach_0,"[('ride', 2), ('bikes', 1), ('bike', 1)]",topic 19
sapteched_0,"[('delicious', 1), ('breakfast', 1)]",topic 14
sarnia_0,"[('career', 4), ('arc', 4)]",topic 10
saugerty_0,"[('career', 2), ('arc', 2)]",topic 10
saultstemarie_0,"[('career', 2), ('arc', 2)]",topic 10
savannah college of art_0,"[('design', 1), ('drawing', 1)]",topic 24
scratch dj academy_0,"[('hip', 2), ('hop', 2)]",topic 20
sdbeer_0,"[('beer', 2), ('ipa', 1)]",topic 14
sdinhd_0,"[('mlb', 1), ('ballpark', 1)]",topic 30
sea_11,"[('hanging', 1), ('awesome', 1)]",topic 20
sea_21,"[('flight', 2), ('flying', 1)]",topic 7
sea_3,"[('bridge', 1), ('river', 1)]",topic 22
seahawks_13,"[('football', 5), ('win', 4), ('fan', 1), ('tailgating', 1), ('beat', 1)]",topic 30
seahawks_14,"[('football', 5), ('stadium', 1)]",topic 30
seahawks_2,"[('nfl', 1), ('funday', 1), ('sunday', 1)]",topic 26
searstower_0,"[('skyline', 1), ('tower', 1)]",topic 22
seaside park beach_0,"[('sunday', 2), ('funday', 1)]",topic 26
seatac_0,"[('flight', 2), ('airport', 1)]",topic 7
seattle center_0,"[('weather', 1), ('sky', 1)]",topic 22
seattlelife_1,"[('ootd', 1), ('blogger', 1)]",topic 24
seattletacoma_0,"[('flight', 2), ('plane', 1)]",topic 7
seattletacoma international_0,"[('airport', 1), ('airlines', 1)]",topic 7
seattlewa_0,"[('simon', 3), ('customer', 1)]",topic 9
seavsla_5,"[('nfl', 1), ('football', 1)]",topic 30
seavsla_6,"[('started', 1), ('trending', 1), ('trnd', 1), ('trends', 1), ('tweets', 1), ('trend', 1)]",topic 27
sequoia_1,"[('brewing', 2), ('company', 2), ('beer', 1)]",topic 14
session room_0,"[('drinking', 1), ('craft', 1), ('beer', 1)]",topic 14
sf_1,"[('gallery', 1), ('graffiti', 1), ('street', 1), ('art', 1)]",topic 24
sfart_0,"[('art', 2), ('artist', 1)]",topic 24
sfgiant_5,"[('season', 1), ('win', 1), ('beat', 1)]",topic 30
sfmoma_0,"[('artwork', 2), ('art', 1)]",topic 24
sfo_2,"[('flight', 3), ('airport', 3), ('headed', 1), ('heading', 1)]",topic 7
sharethelex_1,"[('fall', 2), ('autumn', 1)]",topic 22
sharonville_0,"[('career', 2), ('arc', 2)]",topic 10
shawtylo_1,"[('rip', 2), ('remember', 1)]",topic 18
sheppard avenue_0,"[('east', 1), ('west', 1)]",topic 1
sheridan dr_0,"[('thruway', 1), ('cleared', 1), ('incident', 1), ('rte', 1)]",topic 1
shermanoak_1,"[('server', 1), ('cook', 1)]",topic 9
shipwrecked_0,"[('drinking', 2), ('beer', 1)]",topic 14
short north_0,"[('north', 1), ('west', 1)]",topic 1
shorthill_0,"[('career', 3), ('arc', 3)]",topic 10
showbox present_0,"[('band', 1), ('music', 1)]",topic 20
siestakey_0,"[('funday', 2), ('sunday', 2)]",topic 26
silicon valley_1,"[('campus', 1), ('university', 1)]",topic 28
simi valley town center_0,"[('bench', 2), ('jeweler', 2)]",topic 9
sincity_1,"[('lit', 1), ('party', 1)]",topic 20
six flag_0,"[('friend', 1), ('finally', 1)]",topic 20
six flag_1,"[('sunday', 2), ('funday', 1)]",topic 26
sixflags_0,"[('friend', 1), ('awesome', 1)]",topic 20
skidawayisland_0,"[('inventory', 2), ('business', 1)]",topic 9
skol_1,"[('stadium', 9), ('win', 2)]",topic 30
skol viking_1,"[('football', 1), ('season', 1), ('stadium', 1)]",topic 30
skolvike_1,"[('stadium', 2), ('football', 1)]",topic 30
skolviking_3,"[('started', 1), ('trending', 1)]",topic 27
slc_3,"[('headed', 1), ('flight', 1)]",topic 7
smithsonian_0,"[('tbt', 2), ('thursday', 1), ('throwback', 1)]",topic 20
smogcitybeer_0,"[('drinking', 1), ('brewery', 1), ('ipa', 1), ('beer', 1)]",topic 14
smokymountain_2,"[('filter', 1), ('sunrise', 1)]",topic 22
smorgasburg_1,"[('food', 1), ('yummy', 1)]",topic 14
smu_2,"[('win', 2), ('field', 1), ('stadium', 1)]",topic 30
snallygaster_0,"[('beer', 2), ('drinking', 1), ('tap', 1)]",topic 14
snf_0,"[('stadium', 3), ('football', 2), ('season', 1), ('nfl', 1)]",topic 30
snf_3,"[('football', 1), ('stadium', 1)]",topic 30
snf_1,"[('football', 2), ('nfl', 1), ('sunday', 1)]",topic 30
sobe_0,"[('skies', 1), ('sky', 1)]",topic 22
socal_21,"[('thursday', 2), ('throwback', 1)]",topic 20
socal_26,"[('sky', 1), ('clouds', 1)]",topic 22
socal_7,"[('sunday', 2), ('funday', 1)]",topic 26
soho_0,"[('style', 4), ('model', 1), ('fashion', 1)]",topic 24
somerset collection_0,"[('mood', 2), ('current', 1)]",topic 22
sonoma raceway_0,"[('race', 2), ('racing', 1)]",topic 19
sonomacounty_2,"[('winery', 1), ('wine', 1)]",topic 14
sony music_0,"[('stage', 1), ('music', 1)]",topic 20
sony picture studio_0,"[('makeup', 1), ('model', 1)]",topic 24
sooner_1,"[('university', 2), ('college', 1)]",topic 28
south avenue_0,"[('construction', 1), ('ramp', 1), ('cleared', 1), ('incident', 1)]",topic 1
south beach miami_0,"[('perfect', 1), ('summer', 1)]",topic 22
south street_1,"[('art', 2), ('painting', 1), ('gallery', 1), ('artist', 1)]",topic 24
southern university_0,"[('alpha', 2), ('sigma', 1), ('epsilon', 1), ('zeta', 1), ('tau', 1)]",topic 28
southflorida_7,"[('design', 2), ('interior', 1)]",topic 24
southflorida_3,"[('perfect', 1), ('summer', 1)]",topic 22
southloop_0,"[('fit', 2), ('gym', 1), ('fitness', 1)]",topic 11
spaceneedle_0,"[('usa', 1), ('travel', 1)]",topic 22
spadina_0,"[('ave', 2), ('div', 1)]",topic 1
sparkcon_0,"[('street', 1), ('art', 1)]",topic 24
spartanrace_1,"[('mile', 1), ('race', 1)]",topic 22
spartanrace_4,"[('spartan', 8), ('spartans', 1)]",topic 29
spicysalmon_1,"[('sushi', 1), ('lunch', 1)]",topic 14
sportland_0,"[('skilled', 2), ('trade', 2)]",topic 9
spx_0,"[('saturday', 1), ('sunday', 1)]",topic 26
square_22,"[('tbt', 4), ('thursday', 2), ('throwback', 2)]",topic 20
square_28,"[('tomorrow', 1), ('start', 1)]",topic 20
square_2,"[('coffee', 2), ('starbucks', 1)]",topic 14
ss17_0,"[('fashion', 3), ('style', 3), ('collection', 2), ('designer', 1), ('model', 1)]",topic 24
sshp_0,"[('fall', 1), ('season', 1)]",topic 22
st cloud_0,"[('kelly', 1), ('representative', 1)]",topic 9
star war_5,"[('cosplay', 2), ('comic', 1)]",topic 3
statueofliberty_0,"[('america', 1), ('usa', 1)]",topic 22
staugustine_1,"[('career', 2), ('arc', 2)]",topic 10
stcharle_0,"[('cintas', 1), ('corporation', 1)]",topic 9
steamboatspring_0,"[('career', 2), ('arc', 2)]",topic 10
steeler_11,"[('nfl', 4), ('beat', 2), ('opener', 1), ('football', 1), ('season', 1)]",topic 30
steeler_2,"[('football', 1), ('nfl', 1)]",topic 30
steeler game_0,"[('drinking', 2), ('ale', 1), ('stout', 1)]",topic 14
steelernation_3,"[('tailgating', 1), ('football', 1), ('season', 1), ('win', 1)]",topic 30
stegenevieve_0,"[('regions', 2), ('banking', 1)]",topic 9
stigmabase_0,"[('clinton', 2), ('trump', 1), ('donald', 1)]",topic 5
stl_8,"[('loved', 1), ('amazing', 1)]",topic 20
stlipa_0,"[('drinking', 2), ('ipa', 1)]",topic 14
stlouis_4,"[('engineering', 2), ('technical', 1), ('engineer', 1)]",topic 9
stlouis_5,"[('listing', 2), ('estate', 2), ('virtual', 1), ('tour', 1), ('realtor', 1)]",topic 1
stlucia_0,"[('music', 1), ('band', 1)]",topic 20
stlucia_1,"[('music', 1), ('band', 1)]",topic 20
stone street_0,"[('oktoberfest', 2), ('german', 1)]",topic 14
storrs_0,"[('salon', 2), ('hair', 2), ('cuttery', 2), ('cosmetology', 1)]",topic 9
stpete_1,"[('art', 2), ('arts', 1)]",topic 24
stpetebeach_1,"[('career', 2), ('arc', 2)]",topic 10
stpetersburg_1,"[('career', 2), ('arc', 2)]",topic 10
streetsoftoronto_1,"[('art', 2), ('photography', 1), ('street', 1)]",topic 24
streetstyle_0,"[('ootd', 3), ('fashion', 3), ('style', 2)]",topic 24
streetstyle_2,"[('ootd', 2), ('fashion', 2), ('style', 1), ('mens', 1)]",topic 24
strip_0,"[('usa', 2), ('america', 2)]",topic 22
strip_2,"[('style', 2), ('fashion', 1)]",topic 24
strose_0,"[('career', 2), ('arc', 2)]",topic 10
stubbs_0,"[('band', 1), ('music', 1)]",topic 20
stubhub center_0,"[('song', 1), ('singing', 1)]",topic 20
sugar factory_0,"[('ya', 1), ('ain', 1)]",topic 20
sun dial restaurant_0,"[('bar', 2), ('drinks', 1)]",topic 14
sundownmusicfestival_0,"[('funday', 2), ('sunday', 2)]",topic 26
sunset marquis_0,"[('makeup', 2), ('model', 1)]",topic 24
sunsetblvd_0,"[('cars', 1), ('car', 1)]",topic 19
sunsethill_0,"[('career', 2), ('arc', 2)]",topic 10
suny cortland_0,"[('kid', 1), ('kids', 1)]",topic 20
surf_4,"[('surfing', 2), ('waves', 1)]",topic 16
swfl_0,"[('estate', 1), ('realtor', 1)]",topic 1
syracuse university_0,"[('dream', 1), ('living', 1)]",topic 11
tahoe_5,"[('lake', 2), ('trail', 1)]",topic 22
tahoe_4,"[('north', 2), ('shore', 2)]",topic 1
tahoe resort_0,"[('regency', 2), ('hyatt', 2)]",topic 8
tamarac_0,"[('career', 3), ('arc', 3)]",topic 10
tampa international airport_0,"[('airport', 1), ('plane', 1)]",topic 7
tampabay_3,"[('restaurant', 2), ('food', 1)]",topic 14
target field_0,"[('pretty', 1), ('cool', 1), ('awesome', 1)]",topic 20
tarleton state university_0,"[('wait', 1), ('excited', 1)]",topic 20
tatsuya_0,"[('tatsu', 2), ('ramen', 2)]",topic 14
tavara_0,"[('manufacturing', 2), ('operator', 1)]",topic 9
tb12_0,"[('gameday', 1), ('football', 1), ('season', 1)]",topic 30
tbvsaz_1,"[('nfl', 2), ('football', 1)]",topic 30
tdot_1,"[('architecture', 2), ('building', 1)]",topic 22
tdot_2,"[('fall', 1), ('coming', 1)]",topic 22
team canada_0,"[('beat', 1), ('battle', 1)]",topic 30
tearsforfear_0,"[('winery', 2), ('wine', 1)]",topic 14
tech startup_0,"[('office', 1), ('clerical', 1)]",topic 9
temeculavalley_0,"[('wine', 1), ('tasting', 1), ('winery', 1)]",topic 14
temple university_0,"[('campus', 1), ('college', 1)]",topic 28
teragram ballroom_0,"[('bad', 1), ('boy', 1)]",topic 20
terminal_2,"[('cruise', 2), ('boat', 1)]",topic 22
terminal_13,"[('john', 7), ('kennedy', 3)]",topic 7
terminal_18,"[('bus', 3), ('incident', 1)]",topic 1
terminal5_0,"[('music', 2), ('concert', 1)]",topic 20
texan_9,"[('fan', 2), ('football', 2), ('win', 2), ('stadium', 1), ('tailgating', 1), ('beat', 1)]",topic 30
texan_11,"[('bar', 2), ('grill', 1)]",topic 14
texan_1,"[('beat', 1), ('football', 1)]",topic 30
texasmusic_0,"[('music', 1), ('band', 1)]",topic 20
texastech_0,"[('football', 2), ('fan', 1), ('win', 1)]",topic 30
tfc_1,"[('fc', 2), ('soccer', 1)]",topic 30
the6_3,"[('magical', 1), ('amazing', 1)]",topic 20
the6_4,"[('tower', 1), ('skyline', 1)]",topic 22
the6ix_1,"[('views', 5), ('tower', 3)]",topic 22
theabbey_0,"[('funday', 2), ('sunday', 2)]",topic 26
theastergate_0,"[('museum', 1), ('art', 1)]",topic 24
thebean_0,"[('usa', 2), ('america', 1)]",topic 22
thebroad_1,"[('art', 4), ('sculpture', 1)]",topic 24
theemmys_0,"[('awards', 1), ('award', 1)]",topic 17
thehotelcafe_0,"[('tomorrow', 1), ('catch', 1)]",topic 20
thekiller_0,"[('music', 3), ('stage', 1)]",topic 20
themet_0,"[('art', 2), ('museum', 1)]",topic 24
thesearetheday_0,"[('phi', 3), ('alpha', 3), ('bid', 1), ('recruitment', 1)]",topic 28
thevillage_1,"[('financial', 1), ('banking', 1), ('regions', 1)]",topic 9
thewoodland_0,"[('career', 2), ('arc', 2)]",topic 10
thiefriverfall_0,"[('career', 2), ('arc', 2)]",topic 10
third street_0,"[('store', 1), ('sale', 1)]",topic 9
thunderbay_0,"[('food', 2), ('eat', 1), ('eats', 1), ('porn', 1)]",topic 14
thundercat_0,"[('awesome', 1), ('pretty', 1)]",topic 20
tice_0,"[('sale', 2), ('customer', 2)]",topic 9
tiff16_1,"[('film', 5), ('movie', 3), ('screening', 2), ('theatre', 1)]",topic 17
tiff2016_0,"[('movie', 2), ('cinema', 1)]",topic 17
tiffin river_0,"[('barista', 2), ('starbucks', 2)]",topic 14
tiger stadium_0,"[('football', 1), ('stadium', 1)]",topic 30
tijuana_0,"[('career', 2), ('arc', 2)]",topic 10
time warner cable arena_1,"[('bad', 2), ('boy', 2)]",topic 20
times_0,"[('travel', 2), ('traveling', 1)]",topic 22
timesquare_0,"[('usa', 3), ('america', 2)]",topic 22
timessquare_0,"[('instagram', 3), ('insta', 1)]",topic 23
timonium_0,"[('career', 2), ('arc', 2)]",topic 10
tmobile arena_0,"[('concert', 1), ('music', 1)]",topic 20
tom bradley_0,"[('usa', 1), ('travel', 1)]",topic 22
topgolf_2,"[('finally', 1), ('friend', 1)]",topic 20
toronto beache_0,"[('dog', 2), ('dogs', 1), ('rescue', 1)]",topic 23
toronto international film festival_0,"[('film', 1), ('films', 1)]",topic 17
toronto island_0,"[('islands', 2), ('island', 1)]",topic 22
torontofinal_0,"[('watch', 1), ('watching', 1)]",topic 30
torontofood_1,"[('food', 2), ('yummy', 1)]",topic 14
torontolife_2,"[('interior', 2), ('design', 1)]",topic 24
torontoonm4p1e4_0,"[('clerical', 2), ('administrative', 1), ('assistant', 1), ('office', 1)]",topic 9
toughmudder2016_0,"[('mudder', 2), ('tough', 1)]",topic 0
tourchampionship_1,"[('golf', 3), ('club', 1)]",topic 16
tower of terror_0,"[('hey', 1), ('guy', 1)]",topic 20
tremblant_0,"[('pretty', 2), ('awesome', 1)]",topic 20
tribeca_0,"[('sky', 2), ('weather', 1)]",topic 22
truck_0,"[('avenue', 3), ('pains', 1)]",topic 1
tubeu2016_0,"[('hyatt', 2), ('regency', 1)]",topic 8
tulalip_0,"[('career', 2), ('arc', 2)]",topic 10
turf_0,"[('fest', 6), ('music', 2), ('festival', 2)]",topic 20
turfto_0,"[('music', 4), ('festival', 1)]",topic 20
turner field_0,"[('pretty', 1), ('cool', 1)]",topic 20
turner hall ballroom_0,"[('amazing', 1), ('yesterday', 1)]",topic 20
twinfall_0,"[('career', 2), ('arc', 2)]",topic 10
tyler tx_0,"[('store', 2), ('candidate', 1)]",topic 9
tyson_0,"[('administrative', 2), ('assistant', 1)]",topic 9
ucf_1,"[('university', 2), ('campus', 1), ('student', 1)]",topic 28
ucla_4,"[('college', 1), ('ncaa', 1)]",topic 30
ucla_5,"[('library', 1), ('study', 1)]",topic 28
ucm_0,"[('shoot', 1), ('video', 1)]",topic 24
uconn_0,"[('college', 1), ('beat', 1)]",topic 30
ucsb_1,"[('campus', 2), ('student', 1), ('college', 1)]",topic 28
ues_0,"[('humidity', 1), ('sky', 1)]",topic 22
un_2,"[('goals', 2), ('squad', 1)]",topic 11
unc charlotte_1,"[('college', 1), ('student', 1)]",topic 28
unc pembroke_0,"[('alpha', 2), ('sigma', 1), ('omega', 1), ('pi', 1)]",topic 28
uncg_0,"[('college', 1), ('university', 1)]",topic 28
unga_0,"[('president', 4), ('obama', 2)]",topic 5
unga_3,"[('trnd', 2), ('trend', 1)]",topic 27
union eav_0,"[('catch', 1), ('tomorrow', 1)]",topic 20
uniongap_0,"[('career', 2), ('arc', 2)]",topic 10
united nation_0,"[('september', 1), ('sept', 1)]",topic 18
united nation general_0,"[('president', 2), ('obama', 2)]",topic 5
united nations_0,"[('president', 2), ('obama', 1)]",topic 5
united state_0,"[('repost', 3), ('repostapp', 1)]",topic 17
universal studio_1,"[('lit', 1), ('party', 1)]",topic 20
universal studio_3,"[('island', 2), ('vacation', 1)]",topic 22
universal studio hollywood_0,"[('dress', 1), ('fashion', 1)]",topic 24
universalstudio_0,"[('awesome', 1), ('hanging', 1)]",topic 20
universalstudios_3,"[('travel', 2), ('usa', 1), ('gram', 1)]",topic 22
university of arkansa_0,"[('omega', 3), ('delta', 1), ('pi', 1), ('alpha', 1)]",topic 28
university of cincinnati_0,"[('picture', 1), ('pic', 1)]",topic 23
university of maryland_0,"[('medical', 2), ('center', 1)]",topic 6
university of michigan_0,"[('hair', 1), ('cut', 1)]",topic 9
university of phoenix stadium_0,"[('seat', 1), ('seats', 1)]",topic 30
universityheight_0,"[('career', 3), ('arc', 3)]",topic 10
unlv_0,"[('gamma', 1), ('phi', 1), ('beta', 1), ('zeta', 1)]",topic 28
uottawa_0,"[('university', 2), ('campus', 1)]",topic 28
upperstclair_0,"[('restaurant', 2), ('cook', 1)]",topic 9
upperstclaire_0,"[('career', 2), ('arc', 2)]",topic 10
uptown_20,"[('east', 1), ('west', 1)]",topic 1
uptown charlotte_1,"[('football', 1), ('tailgating', 1)]",topic 30
uptown theater_0,"[('awesome', 1), ('cool', 1)]",topic 20
usbankstadium_0,"[('stadium', 5), ('football', 2), ('win', 1), ('tailgating', 1)]",topic 30
usc_0,"[('student', 2), ('university', 1), ('college', 1), ('campus', 1)]",topic 28
usf_3,"[('university', 1), ('college', 1)]",topic 28
usi_0,"[('university', 1), ('campus', 1)]",topic 28
usil_0,"[('customer', 2), ('services', 1), ('representative', 1)]",topic 9
usnj_0,"[('career', 3), ('arc', 3)]",topic 10
utahisrad_0,"[('ig', 2), ('insta', 1)]",topic 23
utep_1,"[('football', 1), ('university', 1)]",topic 28
uw_1,"[('football', 2), ('ncaa', 1)]",topic 30
uwmadison_0,"[('summer', 1), ('perfect', 1)]",topic 22
uws_0,"[('iced', 1), ('coffee', 1)]",topic 14
van cortlandt park_0,"[('country', 2), ('cross', 2)]",topic 6
van ness_0,"[('ave', 2), ('closed', 1), ('delay', 1)]",topic 1
van nuy_0,"[('blvd', 2), ('closed', 1)]",topic 1
vcu_0,"[('omicron', 3), ('alpha', 3), ('pi', 3), ('delta', 1)]",topic 28
vegas_28,"[('bound', 1), ('airport', 1)]",topic 7
vegas_31,"[('hot', 3), ('tub', 1)]",topic 13
vegas_32,"[('party', 2), ('pool', 2)]",topic 20
vegas_37,"[('trip', 2), ('road', 1)]",topic 22
vegas_42,"[('amazing', 9), ('awesome', 5), ('yesterday', 2)]",topic 20
vegas_43,"[('tbt', 4), ('throwback', 2), ('thursday', 2)]",topic 20
vegas_25,"[('music', 1), ('band', 1)]",topic 20
vegas_19,"[('america', 2), ('usa', 1)]",topic 22
vegas_12,"[('drive', 1), ('road', 1)]",topic 22
vegasview_0,"[('lights', 1), ('light', 1)]",topic 22
venice beach_1,"[('usa', 3), ('trip', 1)]",topic 22
venicebeach_1,"[('style', 2), ('fashion', 2), ('model', 1)]",topic 24
verizon center_0,"[('bad', 5), ('boy', 2)]",topic 20
verrado way_0,"[('crash', 2), ('phxtraffic', 1)]",topic 1
versaille_0,"[('career', 2), ('arc', 2)]",topic 10
vfl_0,"[('win', 1), ('football', 1)]",topic 30
viera_0,"[('career', 4), ('arc', 4)]",topic 10
viewcolorado_0,"[('trip', 1), ('explore', 1), ('adventure', 1)]",topic 22
vigo high school_0,"[('north', 1), ('south', 1)]",topic 1
vin_3,"[('stadium', 4), ('beat', 1), ('win', 1)]",topic 30
virginia commonwealth university_0,"[('ambassador', 2), ('student', 2)]",topic 28
virginia tech_0,"[('wing', 2), ('wild', 1)]",topic 14
vol_0,"[('win', 1), ('football', 1)]",topic 30
volusia county_0,"[('teller', 2), ('regions', 1)]",topic 9
voodoo doughnut_0,"[('donut', 1), ('donuts', 1)]",topic 14
wall street_3,"[('street', 1), ('art', 1), ('wall', 1)]",topic 24
